"15133SEJ 과세유형별(1)","13301B 시도․업태별(1)","13301B 시도․업태별(2)",TIME 시점,16133T2008_0245 총계,16133T2008_0418 사업부진,16133T2008_0419 행정처분,16133T2008_0420 계절사업,16133T2008_0421 법인전환,16133T2008_0422 면세포기·적용,T001 양도·양수,16133T2008_0425 해산·합병,16133ABA7 기타
"15133SEJ01 법인사업자","B20 업태별","B32 부동산임대업",Y2019 2019,2563,215,18,1,-,-,190,78,2061
"15133SEJ01 법인사업자","B20 업태별","B32 부동산임대업",Y2020 2020,3246,284,13,-,-,-,286,59,2604
"15133SEJ01 법인사업자","B20 업태별","B32 부동산임대업",Y2021 2021,3430,304,16,1,-,-,328,77,2704
"15133SEJ01 법인사업자","B20 업태별","B32 부동산임대업",Y2022 2022,3127,325,12,0,0,0,165,68,2557
"15133SEJ01 법인사업자","B20 업태별","B32 부동산임대업",Y2023 2023,2678,327,17,-,-,-,139,52,2143
"15133SEJ01 법인사업자","B20 업태별","B33 대리·중개·도급업",Y2019 2019,940,453,19,1,-,-,5,11,451
"15133SEJ01 법인사업자","B20 업태별","B33 대리·중개·도급업",Y2020 2020,880,460,7,-,-,-,7,8,398
"15133SEJ01 법인사업자","B20 업태별","B33 대리·중개·도급업",Y2021 2021,820,453,13,-,-,-,5,9,340
"15133SEJ01 법인사업자","B20 업태별","B33 대리·중개·도급업",Y2022 2022,823,401,8,0,0,0,7,18,389
"15133SEJ01 법인사업자","B20 업태별","B33 대리·중개·도급업",Y2023 2023,943,492,8,-,-,-,3,20,420
"15133SEJ01 법인사업자","B20 업태별","B34 서비스업",Y2019 2019,20708,8371,339,5,-,-,167,1082,10744
"15133SEJ01 법인사업자","B20 업태별","B34 서비스업",Y2020 2020,20041,8606,235,5,-,-,176,1110,9909
"15133SEJ01 법인사업자","B20 업태별","B34 서비스업",Y2021 2021,19236,8187,187,8,-,-,196,1389,9269
"15133SEJ01 법인사업자","B20 업태별","B34 서비스업",Y2022 2022,20752,8578,160,9,0,0,219,1512,10274
"15133SEJ01 법인사업자","B20 업태별","B34 서비스업",Y2023 2023,23968,10787,235,6,-,-,199,1400,11341
"15133SEJ02 일반사업자","B01 합계","소계",Y2019 2019,526377,214673,1728,478,4405,289,30657,389,273758
"15133SEJ02 일반사업자","B01 합계","소계",Y2020 2020,490189,211603,1496,378,4170,138,32300,317,239787
"15133SEJ02 일반사업자","B01 합계","소계",Y2021 2021,456839,205985,1171,280,3909,57,38012,221,207204
"15133SEJ02 일반사업자","B01 합계","소계",Y2022 2022,438023,200836,991,374,3657,58,31720,271,200116
"15133SEJ02 일반사업자","B01 합계","소계",Y2023 2023,499677,239004,1686,401,3851,42,28976,149,225568
"15133SEJ02 일반사업자","B02 지역별","소계",Y2019 2019,526377,214673,1728,478,4405,289,30657,389,273758
"15133SEJ02 일반사업자","B02 지역별","소계",Y2020 2020,490189,211603,1496,378,4170,138,32300,317,239787
"15133SEJ02 일반사업자","B02 지역별","소계",Y2021 2021,456839,205985,1171,280,3909,57,38012,221,207204
"15133SEJ02 일반사업자","B02 지역별","소계",Y2022 2022,438023,200836,991,374,3657,58,31720,271,200116
"15133SEJ02 일반사업자","B02 지역별","소계",Y2023 2023,499677,239004,1686,401,3851,42,28976,149,225568
"15133SEJ02 일반사업자","B02 지역별","B03 서울",Y2019 2019,107481,48292,340,96,1361,36,6269,61,51026
"15133SEJ02 일반사업자","B02 지역별","B03 서울",Y2020 2020,98581,45730,297,79,1231,16,6194,44,44990
"15133SEJ02 일반사업자","B02 지역별","B03 서울",Y2021 2021,91437,44656,195,58,1199,5,6742,34,38548
"15133SEJ02 일반사업자","B02 지역별","B03 서울",Y2022 2022,86248,42154,201,70,1143,12,5092,32,37544
"15133SEJ02 일반사업자","B02 지역별","B03 서울",Y2023 2023,97402,48725,286,85,1190,7,4656,13,42440
"15133SEJ02 일반사업자","B02 지역별","B04 인천",Y2019 2019,35525,11558,137,20,205,105,2258,11,21231
"15133SEJ02 일반사업자","B02 지역별","B04 인천",Y2020 2020,33917,12644,95,22,236,21,2662,11,18226
"15133SEJ02 일반사업자","B02 지역별","B04 인천",Y2021 2021,30007,12506,57,19,204,7,3679,10,13525
"15133SEJ02 일반사업자","B02 지역별","B04 인천",Y2022 2022,29853,12734,59,32,238,2,3246,6,13536
"15133SEJ02 일반사업자","B02 지역별","B04 인천",Y2023 2023,34324,15805,144,25,197,4,2807,10,15332
"15133SEJ02 일반사업자","B02 지역별","B05 경기",Y2019 2019,151125,56080,797,132,1332,97,10282,101,82304
"15133SEJ02 일반사업자","B02 지역별","B05 경기",Y2020 2020,142932,57823,646,123,1202,30,10833,59,72216
"15133SEJ02 일반사업자","B02 지역별","B05 경기",Y2021 2021,138171,58047,530,90,1175,22,13335,87,64885
"15133SEJ02 일반사업자","B02 지역별","B05 경기",Y2022 2022,132713,59148,407,125,1073,7,11189,116,60648
"15133SEJ02 일반사업자","B02 지역별","B05 경기",Y2023 2023,151270,71635,808,123,1133,14,9681,59,67817
"15133SEJ02 일반사업자","B02 지역별","B06 강원",Y2019 2019,12684,5329,32,28,97,1,801,20,6376
"15133SEJ02 일반사업자","B02 지역별","B06 강원",Y2020 2020,11957,5111,16,14,87,3,723,5,5998
"15133SEJ02 일반사업자","B02 지역별","B06 강원",Y2021 2021,11158,4866,17,12,80,1,871,17,5294
"15133SEJ02 일반사업자","B02 지역별","B06 강원",Y2022 2022,11252,4427,30,16,62,14,778,16,5909
"15133SEJ02 일반사업자","B02 지역별","B06 강원",Y2023 2023,12686,5402,60,25,94,4,759,7,6335
"15133SEJ02 일반사업자","B02 지역별","B07 대전",Y2019 2019,13801,6310,28,11,98,-,776,7,6571
"15133SEJ02 일반사업자","B02 지역별","B07 대전",Y2020 2020,12500,6245,38,4,109,1,825,6,5272
"15133SEJ02 일반사업자","B02 지역별","B07 대전",Y2021 2021,11243,5580,23,6,89,-,818,3,4724
"15133SEJ02 일반사업자","B02 지역별","B07 대전",Y2022 2022,11096,5202,16,9,70,0,698,2,5099
"15133SEJ02 일반사업자","B02 지역별","B07 대전",Y2023 2023,12759,6586,19,8,87,3,754,2,5300
"15133SEJ02 일반사업자","B02 지역별","B08 충북",Y2019 2019,13869,5402,14,15,89,2,769,2,7576
"15133SEJ02 일반사업자","B02 지역별","B08 충북",Y2020 2020,12889,5582,24,11,91,4,773,5,6399
"15133SEJ02 일반사업자","B02 지역별","B08 충북",Y2021 2021,12246,5486,18,7,85,1,891,4,5754
"15133SEJ02 일반사업자","B02 지역별","B08 충북",Y2022 2022,11741,5314,10,5,65,0,746,1,5600
"15133SEJ02 일반사업자","B02 지역별","B08 충북",Y2023 2023,13838,5946,10,7,82,2,695,2,7094
"15133SEJ02 일반사업자","B02 지역별","B09 충남",Y2019 2019,19700,7614,55,22,137,3,1099,34,10736
"15133SEJ02 일반사업자","B02 지역별","B09 충남",Y2020 2020,18291,7206,64,14,131,10,1281,9,9576
"15133SEJ02 일반사업자","B02 지역별","B09 충남",Y2021 2021,17031,7396,60,11,115,5,1358,5,8081
"15133SEJ02 일반사업자","B02 지역별","B09 충남",Y2022 2022,16666,6882,32,9,105,1,1486,21,8130
"15133SEJ02 일반사업자","B02 지역별","B09 충남",Y2023 2023,19135,8165,35,9,128,2,1504,7,9285
"15133SEJ02 일반사업자","B02 지역별","B10 세종",Y2019 2019,2692,975,1,-,15,-,290,1,1410
"15133SEJ02 일반사업자","B02 지역별","B10 세종",Y2020 2020,2634,1061,3,1,28,-,272,1,1268
"15133SEJ02 일반사업자","B02 지역별","B10 세종",Y2021 2021,2895,1043,6,1,13,-,359,-,1473
"15133SEJ02 일반사업자","B02 지역별","B10 세종",Y2022 2022,2523,1039,4,4,17,0,180,0,1279
"15133SEJ02 일반사업자","B02 지역별","B10 세종",Y2023 2023,2880,1297,17,3,20,-,167,2,1374
"15133SEJ02 일반사업자","B02 지역별","B11 광주",Y2019 2019,13752,5970,41,19,127,5,623,10,6957
"15133SEJ02 일반사업자","B02 지역별","B11 광주",Y2020 2020,12746,6075,63,8,111,11,772,10,5696
"15133SEJ02 일반사업자","B02 지역별","B11 광주",Y2021 2021,12298,6012,23,8,114,2,969,9,5161
"15133SEJ02 일반사업자","B02 지역별","B11 광주",Y2022 2022,11627,5279,19,9,80,7,777,3,5453
"15133SEJ02 일반사업자","B02 지역별","B11 광주",Y2023 2023,12850,6074,24,5,101,-,668,1,5977
